,label,begin,end,dynasty,monarch,monarchName,reignTitle,uri,last_year
50,汉建始,-32,-28.0,汉,成帝,刘骜,建始,http://data.library.sh.cn/authority/temporal/w6v3v9dltjion1yi,4
51,汉河平,-28,-25.0,汉,成帝,刘骜,河平,http://data.library.sh.cn/authority/temporal/oz892n54486yh9xa,3
52,汉阳朔,-24,-21.0,汉,成帝,刘骜,阳朔,http://data.library.sh.cn/authority/temporal/ktpijakzsv3t9bqm,3
53,汉鸿嘉,-20,-17.0,汉,成帝,刘骜,鸿嘉,http://data.library.sh.cn/authority/temporal/6oa4jj47g4xxh3fb,3
54,汉永始,-16,-13.0,汉,成帝,刘骜,永始,http://data.library.sh.cn/authority/temporal/h841m6ndrgk9uoc7,3
55,汉元延,-12,-9.0,汉,成帝,刘骜,元延,http://data.library.sh.cn/authority/temporal/fkwm4qzusgoznfha,3
56,汉绥和,-8,-7.0,汉,成帝,刘骜,绥和,http://data.library.sh.cn/authority/temporal/7i3c52ulmk1g3aj9,1
57,汉建平,-6,-5.0,汉,哀帝,刘欣,建平,http://data.library.sh.cn/authority/temporal/vuoeofj271g96eb2,1
58,汉太初,-5,-5.0,汉,哀帝,刘欣,太初,http://data.library.sh.cn/authority/temporal/sukmweaeo52v7j6e,0
59,汉建平,-5,-3.0,汉,哀帝,刘欣,建平,http://data.library.sh.cn/authority/temporal/amvtgsrbhv3316w8,2
60,汉元寿,-2,-1.0,汉,哀帝,刘欣,元寿,http://data.library.sh.cn/authority/temporal/5hvqv2zbeyy4bf7v,1
61,汉元始,1,5.0,汉,平帝,刘衎,元始,http://data.library.sh.cn/authority/temporal/1j73xqybmk7lr649,4
62,汉居摄,6,8.0,汉,孺子,刘婴,居摄,http://data.library.sh.cn/authority/temporal/5maiex7kzlaaujpu,2
63,汉初始,8,8.0,汉,孺子,刘婴,初始,http://data.library.sh.cn/authority/temporal/ga8tf8qsxkbcc8gc,0
64,新始建国,9,13.0,新,,王莽,始建国,http://data.library.sh.cn/authority/temporal/6hj5hqgeqm63s54e,4
65,新天凤,14,19.0,新,,王莽,天凤,http://data.library.sh.cn/authority/temporal/rfqm4sgzhpw1n9fs,5
66,新地皇,20,23.0,新,,王莽,地皇,http://data.library.sh.cn/authority/temporal/32zcdr1sao5kdsna,3
67,更始,23,25.0,,,刘玄,更始,http://data.library.sh.cn/authority/temporal/95m9duj9c35zle32,2
68,复汉,23,34.0,,,隗嚣,复汉,http://data.library.sh.cn/authority/temporal/9hjgf8yr6j7v4mlx,11
69,东汉,25,220.0,东汉,,,,http://data.library.sh.cn/authority/temporal/kefbb8iphd4t5e3c,195
70,龙兴,25,36.0,,,公孙述,龙兴,http://data.library.sh.cn/authority/temporal/ukt8q8ulu8w9xgnf,11
71,建世,25,27.0,,,刘盆子,建世,http://data.library.sh.cn/authority/temporal/ozxi9fv6bwqco8w2,2
72,东汉建武,25,56.0,东汉,光武帝,刘秀,建武,http://data.library.sh.cn/authority/temporal/metvom7i4f3twkxi,31
73,东汉建武中元,56,57.0,东汉,光武帝,刘秀,建武中元,http://data.library.sh.cn/authority/temporal/e1aj1pmqdlhx31r6,1
74,东汉永平,58,75.0,东汉,明帝,刘庄,永平,http://data.library.sh.cn/authority/temporal/z8s6pvs3m67uy225,17
75,东汉建初,76,84.0,东汉,章帝,刘炟,建初,http://data.library.sh.cn/authority/temporal/eal933hknyargdov,8
76,东汉元和,84,87.0,东汉,章帝,刘炟,元和,http://data.library.sh.cn/authority/temporal/jk6sz1c4rwq46681,3
77,东汉章和,87,88.0,东汉,章帝,刘炟,章和,http://data.library.sh.cn/authority/temporal/yriovof8vl4vs2ra,1
78,东汉永元,89,105.0,东汉,和帝,刘肇,永元,http://data.library.sh.cn/authority/temporal/jufq85c8f9i8htfl,16
79,东汉元兴,105,105.0,东汉,和帝,刘肇,元兴,http://data.library.sh.cn/authority/temporal/hg4esek9whs583se,0
80,东汉延平,106,106.0,东汉,殇帝,刘隆,延平,http://data.library.sh.cn/authority/temporal/lymxqmb5htjeqgaa,0
81,东汉永初,107,113.0,东汉,安帝,刘祜,永初,http://data.library.sh.cn/authority/temporal/m3g5mw8dmmxizvmy,6
