,label,begin,end,dynasty,monarch,monarchName,reignTitle,uri,last_year
213,晋建武,305,305.0,晋,惠帝,司马衷,建武,http://data.library.sh.cn/authority/temporal/2n8poc112lr2vvpg,0
214,晋永兴,305,306.0,晋,惠帝,司马衷,永兴,http://data.library.sh.cn/authority/temporal/ai1u5v1y8x8lde2a,1
215,成晏平,306,310.0,成;汉,,李雄,晏平,http://data.library.sh.cn/authority/temporal/uiza4e999i3l77ck,4
216,晋光熙,306,306.0,晋,惠帝,司马衷,光熙,http://data.library.sh.cn/authority/temporal/71slyg7nwze6mx3e,0
217,晋永嘉,307,313.0,晋,怀帝,司马炽,永嘉,http://data.library.sh.cn/authority/temporal/aagevrihgqfr1ef9,6
218,汉永凤,308,308.0,前赵;汉,,刘渊,永凤,http://data.library.sh.cn/authority/temporal/1fcbe2zwhx7gh73v,0
219,汉河瑞,309,310.0,前赵;汉,,刘渊,河瑞,http://data.library.sh.cn/authority/temporal/j4q42p1f5pv9fvjl,1
220,汉光兴,310,311.0,前赵;汉,,刘聪,光兴,http://data.library.sh.cn/authority/temporal/wmtjwzvi6b3oz3g7,1
221,汉嘉平,311,315.0,前赵;汉,,刘聪,嘉平,http://data.library.sh.cn/authority/temporal/pf2bgvp68gs5p5h1,4
222,成玉衡,311,335.0,成;汉,,李雄,玉衡,http://data.library.sh.cn/authority/temporal/y4c39xrxswqvx5ju,24
223,晋建兴,313,316.0,晋,愍帝,司马邺,建兴,http://data.library.sh.cn/authority/temporal/a13o1e75y5u5mb6d,3
224,汉建元,315,316.0,前赵;汉,,刘聪,建元,http://data.library.sh.cn/authority/temporal/o53tkh3cn83dc3gy,1
225,汉麟嘉,316,318.0,前赵;汉,,刘聪,麟嘉,http://data.library.sh.cn/authority/temporal/f9n7hrtg4w4ss4th,2
226,东晋,317,420.0,东晋,,,,http://data.library.sh.cn/authority/temporal/21lxcapqduaqmaif,103
227,前凉建兴,317,353.0,前凉,,张寔,建兴,http://data.library.sh.cn/authority/temporal/41ovxofa6fhtmk5w,36
228,东晋建武,317,318.0,东晋,元帝,司马睿,建武,http://data.library.sh.cn/authority/temporal/sorb1srfi8kq7e5t,1
229,汉光初,318,329.0,前赵;汉,,刘曜,光初,http://data.library.sh.cn/authority/temporal/npg32tdmgckm8lhx,11
230,汉汉昌,318,318.0,前赵;汉,,刘粲,汉昌,http://data.library.sh.cn/authority/temporal/i4ocarm154zvj85b,0
231,东晋大兴,318,322.0,东晋,元帝,司马睿,大兴;太兴,http://data.library.sh.cn/authority/temporal/x1cum2fq46fuhfit,4
232,后赵,319,328.0,后赵,,石勒,,http://data.library.sh.cn/authority/temporal/ex9s72e9j5snhp19,9
233,建康,319,320.0,,,司马保,建康,http://data.library.sh.cn/authority/temporal/n8canrklg1nc55az,1
234,平赵,320,320.0,,,句渠知,平赵,http://data.library.sh.cn/authority/temporal/lm8b89nyqvpzzyas,0
235,东晋永昌,322,323.0,东晋,明帝,司马绍,永昌,http://data.library.sh.cn/authority/temporal/qhohfgha7bvmaf6z,1
236,东晋太宁,323,326.0,东晋,明帝,司马绍,太宁,http://data.library.sh.cn/authority/temporal/ely7gzcezjov46mc,3
237,东晋咸和,326,334.0,东晋,成帝,司马衍,咸和,http://data.library.sh.cn/authority/temporal/iep9tgbt6luxvlls,8
238,后赵太和,328,330.0,后赵,,石勒,太和,http://data.library.sh.cn/authority/temporal/7kjm2lhqfbrnpscj,2
239,后赵建平,330,333.0,后赵,,石勒,建平,http://data.library.sh.cn/authority/temporal/efcmeqzh6wjvsds6,3
240,后赵延熙,334,334.0,后赵,,石弘,延熙,http://data.library.sh.cn/authority/temporal/1k9tsppv36rb4bwg,0
241,后赵建武,335,348.0,后赵,,石虎,建武,http://data.library.sh.cn/authority/temporal/ivoefdnybsytaqnn,13
242,东晋咸康,335,342.0,东晋,成帝,司马衍,咸康,http://data.library.sh.cn/authority/temporal/vvkplq2nnkszt31k,7
243,成玉恒,336,338.0,成;汉,,李期,玉恒,http://data.library.sh.cn/authority/temporal/67phxfsamlxh2d1q,2
244,龙兴,337,337.0,,,侯子光,龙兴,http://data.library.sh.cn/authority/temporal/gobmyxbus7oncd8b,0
245,前燕,337,348.0,前燕,,慕容皝,,http://data.library.sh.cn/authority/temporal/fslt6f9vytei4ekl,11
246,成汉兴,338,343.0,成;汉,,李寿,汉兴,http://data.library.sh.cn/authority/temporal/tonhgohv4vgspyn7,5
247,代建国,338,376.0,代,,拓跋什翼犍,建国,http://data.library.sh.cn/authority/temporal/6va2dmmi7bjw5sll,38
248,成汉兴,343,343.0,成;汉,,李势,汉兴,http://data.library.sh.cn/authority/temporal/rqz5r3bo8xoscwcl,0
249,东晋建元,343,344.0,东晋,康帝,司马岳,建元,http://data.library.sh.cn/authority/temporal/nrlegpr7vtxqeuux,1
250,成太和,344,346.0,成;汉,,李势,太和,http://data.library.sh.cn/authority/temporal/rr5qkdlxaha84bkc,2
251,东晋永和,345,356.0,东晋,穆帝,司马聃,永和,http://data.library.sh.cn/authority/temporal/ap4i78hnrysil4il,11
252,成嘉宁,346,347.0,成;汉,,李势,嘉宁,http://data.library.sh.cn/authority/temporal/pzog2toaxrwqld6l,1
253,前燕,349,352.0,前燕,,慕容儁,,http://data.library.sh.cn/authority/temporal/yz1w4ityh8r8idn1,3
254,后赵太宁,349,349.0,后赵,,石虎,太宁,http://data.library.sh.cn/authority/temporal/h1hgitvu3hzowe3p,0
255,前秦,350,350.0,前秦,,苻洪,,http://data.library.sh.cn/authority/temporal/fdpnx55jfwurxytj,0
256,冉魏永兴,350,352.0,冉魏,,冉闵,永兴,http://data.library.sh.cn/authority/temporal/khklitxc9ycsvoym,2
257,后赵青龙,350,350.0,后赵,,石世,青龙,http://data.library.sh.cn/authority/temporal/bdka43e9wkkt8cu3,0
258,后赵永宁,350,351.0,后赵,,石祗,永宁,http://data.library.sh.cn/authority/temporal/5e8hzsalzoujpfxw,1
259,前秦皇始,351,355.0,前秦,,苻健,皇始,http://data.library.sh.cn/authority/temporal/7n1z6wft3dyhystb,4
260,前燕元玺,352,357.0,前燕,,慕容儁,元玺,http://data.library.sh.cn/authority/temporal/q9awzxh99vflun9r,5
261,前凉和平,354,355.0,前凉,,张祚,和平,http://data.library.sh.cn/authority/temporal/wec5mhw4n1gol7o3,1
262,前凉建兴,355,361.0,前凉,,张玄靓,建兴,http://data.library.sh.cn/authority/temporal/87vfg12xysympcmm,6
263,前秦寿光,355,357.0,前秦,,苻生,寿光,http://data.library.sh.cn/authority/temporal/1ipgezofxoklvuve,2
264,前秦永兴,357,359.0,前秦,,苻坚,永兴,http://data.library.sh.cn/authority/temporal/hatq6uj2ygq75yoj,2
265,前燕光寿,357,359.0,前燕,,慕容儁,光寿,http://data.library.sh.cn/authority/temporal/x12txcyd2ngnchce,2
266,东晋升平,357,361.0,东晋,穆帝,司马聃,升平,http://data.library.sh.cn/authority/temporal/5agyc1dw9pbqhc8p,4
267,前秦甘露,359,364.0,前秦,,苻坚,甘露,http://data.library.sh.cn/authority/temporal/awgbxcxxemeestkh,5
268,前燕建熙,360,370.0,前燕,,慕容暐,建熙,http://data.library.sh.cn/authority/temporal/aep58kxmhpekhiht,10
269,前凉升平,361,376.0,前凉,,张玄靓,升平,http://data.library.sh.cn/authority/temporal/uwl3fok7rcqrm79n,15
270,东晋隆和,362,363.0,东晋,哀帝,司马丕,隆和,http://data.library.sh.cn/authority/temporal/4a2882kizdby2udi,1
271,东晋兴宁,363,365.0,东晋,哀帝,司马丕,兴宁,http://data.library.sh.cn/authority/temporal/y1ytzb8euaiurt8c,2
272,前秦建元,365,385.0,前秦,,苻坚,建元,http://data.library.sh.cn/authority/temporal/thikwkqrr2t6hwap,20
273,东晋太和,366,371.0,东晋,废帝,司马奕,太和,http://data.library.sh.cn/authority/temporal/v4htuktvexdm3cg8,5
274,凤凰,370,370.0,,,李弘,凤凰,http://data.library.sh.cn/authority/temporal/b15wc9dee8yfi5xq,0
275,东晋咸安,371,372.0,东晋,简文帝,司马昱,咸安,http://data.library.sh.cn/authority/temporal/6mll8w8vcrvwomwa,1
276,东晋宁康,373,375.0,东晋,孝武帝,司马曜,宁康,http://data.library.sh.cn/authority/temporal/87957bvxwyd96fpy,2
277,东晋太元,376,396.0,东晋,孝武帝,司马曜,太元,http://data.library.sh.cn/authority/temporal/o66peie5uq7orcmy,20
278,后秦白雀,384,386.0,后秦,,姚苌,白雀,http://data.library.sh.cn/authority/temporal/rerrvzs5i41ek322,2
279,后燕燕元,384,386.0,后燕,,慕容垂,燕元,http://data.library.sh.cn/authority/temporal/qpf6tvrdf3uigzid,2
280,后秦白雀,384,386.0,后秦,,姚苌,白雀,http://data.library.sh.cn/authority/temporal/5xzvownn7cviildh,2
281,西燕燕兴,384,384.0,西燕,,慕容泓,燕兴,http://data.library.sh.cn/authority/temporal/6ppukrc66giizztl,0
282,前秦太安,385,386.0,前秦,,苻丕,太安,http://data.library.sh.cn/authority/temporal/4rg9wy76h8h1yusu,1
283,西燕更始,385,386.0,西燕,,慕容冲,更始,http://data.library.sh.cn/authority/temporal/s9u6klxxh8qwmj4j,1
284,西秦建义,385,388.0,西秦,,乞伏国仁,建义,http://data.library.sh.cn/authority/temporal/nyua2pdcu3e8rfr1,3
285,后燕建兴,386,396.0,后燕,,慕容垂,建兴,http://data.library.sh.cn/authority/temporal/hk99dqy2dyscqksi,10
286,后秦建初,386,394.0,后秦,,姚苌,建初,http://data.library.sh.cn/authority/temporal/31h1cdydu53bwx5k,8
287,后凉太安,386,389.0,后凉,,吕光,大安;太安,http://data.library.sh.cn/authority/temporal/31r8d7pv7cszdi1i,3
288,西燕昌平,386,387.0,西燕,,段随,昌平,http://data.library.sh.cn/authority/temporal/gzoces1o85of1d1x,1
289,前秦太初,386,394.0,前秦,,苻登,太初,http://data.library.sh.cn/authority/temporal/fapicjla6u3xcc51,8
290,西燕建明,387,388.0,西燕,,慕容顗,建明,http://data.library.sh.cn/authority/temporal/g646cintnmwm3bir,1
291,北魏登国,387,396.0,北魏,道武帝,拓跋珪,登国,http://data.library.sh.cn/authority/temporal/qrrpo6xemfzxb9ej,9
292,西燕建平,388,389.0,西燕,,慕容瑶,建平,http://data.library.sh.cn/authority/temporal/cdlwuqvsqked4jpu,1
293,西秦太初,388,400.0,西秦,,乞伏乾归,太初,http://data.library.sh.cn/authority/temporal/yfyzylbhgrs6hsfd,12
294,西燕建武,389,390.0,西燕,,慕容忠,建武,http://data.library.sh.cn/authority/temporal/1sxouuabt2qppmr1,1
295,后凉麟嘉,389,396.0,后凉,,吕光,麟嘉,http://data.library.sh.cn/authority/temporal/43pkuu1eols7y8mw,7
296,西燕中兴,390,394.0,西燕,,慕容永,中兴,http://data.library.sh.cn/authority/temporal/touwlrjjfunlueh7,4
297,前秦延初,394,394.0,前秦,,苻崇,延初,http://data.library.sh.cn/authority/temporal/i7dxrek7j32mwfo4,0
298,后秦皇初,394,399.0,后秦,,姚兴,皇初,http://data.library.sh.cn/authority/temporal/hulshx5nizy7d4x1,5
299,后凉龙飞,396,399.0,后凉,,吕光,龙飞,http://data.library.sh.cn/authority/temporal/x8751ofsp62kjtqt,3
300,后燕永康,396,398.0,后燕,,慕容宝,永康,http://data.library.sh.cn/authority/temporal/om9zbpqfgkunlfj9,2
301,北魏皇始,396,398.0,北魏,道武帝,拓跋珪,皇始,http://data.library.sh.cn/authority/temporal/sag5ex1iu947hbk2,2
302,北凉神玺,396,398.0,北凉,,段业,神玺,http://data.library.sh.cn/authority/temporal/44wrd9wm6krxbbxn,2
303,南燕延平,397,397.0,南燕,,慕容麟,延平,http://data.library.sh.cn/authority/temporal/dzdc7jnin1l6ldeu,0
304,南凉太初,397,399.0,南凉,,秃髮乌孤,太初,http://data.library.sh.cn/authority/temporal/9xfzdakwn1wzfhlm,2
305,东晋隆安,397,401.0,东晋,安帝,司马德宗,隆安,http://data.library.sh.cn/authority/temporal/9miy4r4uvjbhtfhj,4
306,南燕建始,397,397.0,南燕,,慕容详,建始,http://data.library.sh.cn/authority/temporal/mu99yrt998orijpj,0
307,南燕,398,399.0,南燕,,慕容德,,http://data.library.sh.cn/authority/temporal/zr3yp5qd449ijm98,1
308,青龙,398,398.0,,,兰汗,青龙,http://data.library.sh.cn/authority/temporal/vog75aljxox6o376,0
309,后燕建平,398,398.0,后燕,,慕容盛,建平,http://data.library.sh.cn/authority/temporal/2opw3gpi11has2o8,0
310,北凉天玺,398,401.0,北凉,,段业,天玺,http://data.library.sh.cn/authority/temporal/mwgndj4agyqwwqm4,3
311,北魏天兴,398,404.0,北魏,道武帝,拓跋珪,天兴,http://data.library.sh.cn/authority/temporal/qwovk371faum9xt7,6
312,后秦弘始,399,416.0,后秦,,姚兴,弘始,http://data.library.sh.cn/authority/temporal/srt3vkxgu4rx1k8w,17
313,后燕长乐,399,401.0,后燕,,慕容盛,长乐,http://data.library.sh.cn/authority/temporal/x9sx3q3jjdmxt7qt,2
314,后凉承康,399,400.0,后凉,,吕绍,承康,http://data.library.sh.cn/authority/temporal/rvnhm49lwomhvqxd,1
315,南燕建平,400,405.0,南燕,,慕容德,建平,http://data.library.sh.cn/authority/temporal/2madv7bf2uknxwoo,5
316,南凉建和,400,402.0,南凉,,秃髮利鹿孤,建和,http://data.library.sh.cn/authority/temporal/jq5yzepxqzsagemm,2
317,西凉庚子,400,404.0,西凉,,李暠,庚子,http://data.library.sh.cn/authority/temporal/ey21t7scwmyf95tq,4
318,永始,401,404.0,,,桓玄,永始,http://data.library.sh.cn/authority/temporal/burbklxi1u6a8en8,3
319,后燕光始,401,407.0,后燕,,慕容熙,光始,http://data.library.sh.cn/authority/temporal/aqdpqzm9d9zelta7,6
320,后凉咸宁,401,401.0,后凉,,吕纂,咸宁,http://data.library.sh.cn/authority/temporal/5gufxjdt2xom753h,0
321,北凉永安,401,412.0,北凉,,沮渠蒙逊,永安,http://data.library.sh.cn/authority/temporal/d7x2uy6zcyhqpoks,11
322,后凉神鼎,401,403.0,后凉,,吕隆,神鼎,http://data.library.sh.cn/authority/temporal/i524uohjcxlqb3qv,2
323,东晋元兴,402,403.0,东晋,安帝,司马德宗,元兴,http://data.library.sh.cn/authority/temporal/7qoibz4hyub5xosg,1
324,南凉弘昌,402,404.0,南凉,,秃髮傉檀,弘昌,http://data.library.sh.cn/authority/temporal/3ho22mhpth8w8uy4,2
325,东晋大亨,403,403.0,东晋,安帝,司马德宗,大亨,http://data.library.sh.cn/authority/temporal/jxbm2w59uwzfejjd,0
326,东晋元兴,404,404.0,东晋,安帝,司马德宗,元兴,http://data.library.sh.cn/authority/temporal/mtme6wjkuhvmptxe,0
327,北魏天赐,404,410.0,北魏,道武帝,拓跋珪,天赐,http://data.library.sh.cn/authority/temporal/elloygibp3846umw,6
328,东晋义熙,405,418.0,东晋,安帝,司马德宗,义熙,http://data.library.sh.cn/authority/temporal/hmocr5kdvyc1zxkt,13
329,南燕太上,405,410.0,南燕,,慕容超,太上,http://data.library.sh.cn/authority/temporal/6pb7b8vs4gfvc1h6,5
330,西凉建初,405,417.0,西凉,,李暠,建初,http://data.library.sh.cn/authority/temporal/azpdlaoy7sx5vbcw,12
331,西秦更始,407,412.0,西秦,,乞伏乾归,更始,http://data.library.sh.cn/authority/temporal/bqt38rprt9zeq612,5
332,胡夏龙昇,407,413.0,胡夏,,赫连勃勃,龙昇,http://data.library.sh.cn/authority/temporal/i7pdzuwk392ajhtb,6
333,后燕建始,407,408.0,后燕,,慕容熙,建始,http://data.library.sh.cn/authority/temporal/xom1goesh7gr9pik,1
334,南凉嘉平,407,415.0,南凉,,秃髮傉檀,嘉平,http://data.library.sh.cn/authority/temporal/i5rgzmo9duxubt92,8
335,北燕正始,408,410.0,北燕,,高雲,正始,http://data.library.sh.cn/authority/temporal/voqzksxpe2jvpcb5,2
336,北魏永兴,410,413.0,北魏,明元帝,拓跋嗣,永兴,http://data.library.sh.cn/authority/temporal/l8zobg6x2zgm4533,3
337,北燕太平,410,420.0,北燕,,冯跋,太平,http://data.library.sh.cn/authority/temporal/e8qk1nbugeisk22d,10
338,西秦永康,412,419.0,西秦,,乞伏炽磐,永康,http://data.library.sh.cn/authority/temporal/q9uyn9e7jmwt2wnf,7
339,北凉玄始,412,420.0,北凉,,沮渠蒙逊,玄始,http://data.library.sh.cn/authority/temporal/5psm1qtb2nz51g4e,8
340,胡夏凤翔,413,418.0,胡夏,,赫连勃勃,凤翔,http://data.library.sh.cn/authority/temporal/aqvtsbdajcpjsi9g,5
341,北魏神瑞,414,416.0,北魏,明元帝,拓跋嗣,神瑞,http://data.library.sh.cn/authority/temporal/e1hoktj7tae9mbhx,2
342,南凉建平,415,416.0,南凉,,刘虎;白亚栗斯,建平,http://data.library.sh.cn/authority/temporal/t5izdjm3kvej6e55,1
343,北魏泰常,416,420.0,北魏,明元帝,拓跋嗣,泰常,http://data.library.sh.cn/authority/temporal/89ncmrrtjfzjwzpm,4
344,后秦永和,416,417.0,后秦,,姚泓,永和,http://data.library.sh.cn/authority/temporal/jlxv84gnjjmmlkym,1
345,西凉嘉兴,417,420.0,西凉,,李歆,嘉兴,http://data.library.sh.cn/authority/temporal/x6qqzyhft5c5d6hy,3
346,胡夏昌武,418,419.0,胡夏,,赫连勃勃,昌武,http://data.library.sh.cn/authority/temporal/kpmfpikv61fjgd3i,1
347,胡夏真兴,419,420.0,胡夏,,赫连勃勃,真兴,http://data.library.sh.cn/authority/temporal/llccf1uamsi8km69,1
348,东晋元熙,419,420.0,东晋,恭帝,司马德文,元熙,http://data.library.sh.cn/authority/temporal/btouqplmphfzg46v,1
349,西秦建弘,420,420.0,西秦,,乞伏炽磐,建弘,http://data.library.sh.cn/authority/temporal/443i7njox2adyvmh,0
350,西凉永建,420,420.0,西凉,,李恂,永建,http://data.library.sh.cn/authority/temporal/vxfb2rg9phlxs47p,0
351,胡夏胜光,428,431.0,胡夏,,赫连定,胜光,http://data.library.sh.cn/authority/temporal/y8m25t6dis5wp1mb,3
352,西晋,281,316.0,西晋,,,,http://data.library.sh.cn/authority/temporal/xn8xoiqi5tl3kcez,35
353,东晋,317,420.0,东晋,,,,http://data.library.sh.cn/authority/temporal/21lxcapqduaqmaif,103
354,东晋建武,317,318.0,东晋,元帝,司马睿,建武,http://data.library.sh.cn/authority/temporal/sorb1srfi8kq7e5t,1
355,东晋大兴,318,322.0,东晋,元帝,司马睿,大兴;太兴,http://data.library.sh.cn/authority/temporal/x1cum2fq46fuhfit,4
356,东晋永昌,322,323.0,东晋,明帝,司马绍,永昌,http://data.library.sh.cn/authority/temporal/qhohfgha7bvmaf6z,1
357,东晋太宁,323,326.0,东晋,明帝,司马绍,太宁,http://data.library.sh.cn/authority/temporal/ely7gzcezjov46mc,3
358,东晋咸和,326,334.0,东晋,成帝,司马衍,咸和,http://data.library.sh.cn/authority/temporal/iep9tgbt6luxvlls,8
359,东晋咸康,335,342.0,东晋,成帝,司马衍,咸康,http://data.library.sh.cn/authority/temporal/vvkplq2nnkszt31k,7
360,东晋建元,343,344.0,东晋,康帝,司马岳,建元,http://data.library.sh.cn/authority/temporal/nrlegpr7vtxqeuux,1
361,东晋永和,345,356.0,东晋,穆帝,司马聃,永和,http://data.library.sh.cn/authority/temporal/ap4i78hnrysil4il,11
362,东晋升平,357,361.0,东晋,穆帝,司马聃,升平,http://data.library.sh.cn/authority/temporal/5agyc1dw9pbqhc8p,4
363,东晋隆和,362,363.0,东晋,哀帝,司马丕,隆和,http://data.library.sh.cn/authority/temporal/4a2882kizdby2udi,1
364,东晋兴宁,363,365.0,东晋,哀帝,司马丕,兴宁,http://data.library.sh.cn/authority/temporal/y1ytzb8euaiurt8c,2
365,东晋太和,366,371.0,东晋,废帝,司马奕,太和,http://data.library.sh.cn/authority/temporal/v4htuktvexdm3cg8,5
366,东晋咸安,371,372.0,东晋,简文帝,司马昱,咸安,http://data.library.sh.cn/authority/temporal/6mll8w8vcrvwomwa,1
367,东晋宁康,373,375.0,东晋,孝武帝,司马曜,宁康,http://data.library.sh.cn/authority/temporal/87957bvxwyd96fpy,2
368,东晋太元,376,396.0,东晋,孝武帝,司马曜,太元,http://data.library.sh.cn/authority/temporal/o66peie5uq7orcmy,20
369,东晋隆安,397,401.0,东晋,安帝,司马德宗,隆安,http://data.library.sh.cn/authority/temporal/9miy4r4uvjbhtfhj,4
370,东晋元兴,402,403.0,东晋,安帝,司马德宗,元兴,http://data.library.sh.cn/authority/temporal/7qoibz4hyub5xosg,1
371,东晋大亨,403,403.0,东晋,安帝,司马德宗,大亨,http://data.library.sh.cn/authority/temporal/jxbm2w59uwzfejjd,0
372,东晋元兴,404,404.0,东晋,安帝,司马德宗,元兴,http://data.library.sh.cn/authority/temporal/mtme6wjkuhvmptxe,0
373,东晋义熙,405,418.0,东晋,安帝,司马德宗,义熙,http://data.library.sh.cn/authority/temporal/hmocr5kdvyc1zxkt,13
374,胡夏龙昇,407,413.0,胡夏,,赫连勃勃,龙昇,http://data.library.sh.cn/authority/temporal/i7pdzuwk392ajhtb,6
375,胡夏凤翔,413,418.0,胡夏,,赫连勃勃,凤翔,http://data.library.sh.cn/authority/temporal/aqvtsbdajcpjsi9g,5
376,胡夏昌武,418,419.0,胡夏,,赫连勃勃,昌武,http://data.library.sh.cn/authority/temporal/kpmfpikv61fjgd3i,1
377,胡夏真兴,419,420.0,胡夏,,赫连勃勃,真兴,http://data.library.sh.cn/authority/temporal/llccf1uamsi8km69,1
378,东晋元熙,419,420.0,东晋,恭帝,司马德文,元熙,http://data.library.sh.cn/authority/temporal/btouqplmphfzg46v,1
379,胡夏胜光,428,431.0,胡夏,,赫连定,胜光,http://data.library.sh.cn/authority/temporal/y8m25t6dis5wp1mb,3
380,圣明,406,406.0,,,陈瞻,圣明,http://data.library.sh.cn/authority/temporal/bu5jp3qxdisrb4r6,0
381,南凉建平,415,416.0,南凉,,刘虎;白亚栗斯,建平,http://data.library.sh.cn/authority/temporal/t5izdjm3kvej6e55,1
382,南北朝,420,589.0,南北朝,,,,http://data.library.sh.cn/authority/temporal/5i5tfgls2eofno3s,169
383,西秦凤翔,420,428.0,西秦,,龙昇,凤翔,http://data.library.sh.cn/authority/temporal/v4gmhbejyqmnw4q1,8
384,北魏泰常,420,423.0,北魏,,NON,泰常,http://data.library.sh.cn/authority/temporal/zix3rpq6ss4fzbz5,3
385,北凉玄始,420,428.0,北凉,,沮渠蒙逊,玄始,http://data.library.sh.cn/authority/temporal/46rll74uqosg839j,8
386,北燕永康,420,430.0,北燕,,乞伏炽磐,永康,http://data.library.sh.cn/authority/temporal/7zrqfugejdhxw2be,10
387,西凉永建,420,421.0,西凉,,李恂,永建,http://data.library.sh.cn/authority/temporal/4hsdazocx3odvpqf,1
388,南朝宋永初,420,422.0,南朝宋,武帝,刘裕,永初,http://data.library.sh.cn/authority/temporal/2xss4el8viwbpcy4,2
389,夏建平,421,428.0,夏,,刘虎;白亚栗斯,建平,http://data.library.sh.cn/authority/temporal/izq73mev4g3ajor2,7
390,永和,422,426.0,,,姚泓,永和,http://data.library.sh.cn/authority/temporal/1lj748c48wkjir36,4
391,南朝宋景平,423,424.0,南朝宋,少帝,刘义符,景平,http://data.library.sh.cn/authority/temporal/gnco7u6il7wmxef5,1
392,北魏始光,424,428.0,北魏,太武帝,拓跋焘,始光,http://data.library.sh.cn/authority/temporal/he8qzmgecdz4uv43,4
393,南朝宋元嘉,424,453.0,南朝宋,文帝,刘义隆,元嘉,http://data.library.sh.cn/authority/temporal/jhrtf9kfdxa7j97c,29
394,北魏神麚,428,431.0,北魏,太武帝,拓跋焘,神麚,http://data.library.sh.cn/authority/temporal/2qp68on88us2xz2o,3
395,西秦永弘,428,431.0,西秦,,乞伏暮末,永弘,http://data.library.sh.cn/authority/temporal/lztlkfnx5lhl6ui8,3
396,北凉承玄,428,431.0,北凉,,沮渠蒙逊,承玄,http://data.library.sh.cn/authority/temporal/nxuqkrtrgl71y2cc,3
397,北燕冯弘,430,430.0,北燕,,乞伏炽磐,冯弘,http://data.library.sh.cn/authority/temporal/9bkoaaxjwtyomykt,0
398,西秦昌武,431,431.0,西秦,,乞伏暮末,昌武,http://data.library.sh.cn/authority/temporal/hktmmulk9oaq2423,0
399,西秦真兴,431,431.0,西秦,,乞伏暮末,真兴,http://data.library.sh.cn/authority/temporal/fztdx37xm914ader,0
400,北燕建弘,431,436.0,北燕,,乞伏炽磐,建弘,http://data.library.sh.cn/authority/temporal/ysh28iuu62mtl6x4,5
401,北凉义和,431,433.0,北凉,,沮渠蒙逊,义和,http://data.library.sh.cn/authority/temporal/tf5696y1lqpkfs9z,2
402,泰始,432,437.0,,,程道养,泰始,http://data.library.sh.cn/authority/temporal/xx88vihczog4bvfx,5
403,北魏延和,432,434.0,北魏,太武帝,拓跋焘,延和,http://data.library.sh.cn/authority/temporal/etarx5tv2mrcbx9e,2
404,北凉永和,434,440.0,北凉,,沮渠牧犍;茂虔,承和;永和,http://data.library.sh.cn/authority/temporal/kjbdc1af1an2x71w,6
405,北魏太延,435,440.0,北魏,太武帝,拓跋焘,太延,http://data.library.sh.cn/authority/temporal/34yp642vl3jivzim,5
406,建义,436,442.0,,,杨难当,建义,http://data.library.sh.cn/authority/temporal/m4yc5ifqe5b4rmyu,6
407,北魏太平真君,440,451.0,北魏,太武帝,拓跋焘,太平真君,http://data.library.sh.cn/authority/temporal/oln32dsq9mtme7z9,11
408,北凉承平,441,460.0,北凉,,沮渠无讳,承平,http://data.library.sh.cn/authority/temporal/b8ysvimbrqy5q6pl,19
409,北魏正平,451,452.0,北魏,太武帝,拓跋焘,正平,http://data.library.sh.cn/authority/temporal/acukmb8b7c1i76dm,1
410,北魏承平,452,453.0,北魏,南安王,拓跋余,承平;永平,http://data.library.sh.cn/authority/temporal/ewic2so6sellt3cc,1
411,太初,453,453.0,,,刘劭,太初,http://data.library.sh.cn/authority/temporal/abw7yaalchdudkbp,0
412,北魏兴安,453,455.0,北魏,文成帝,拓跋濬,兴安,http://data.library.sh.cn/authority/temporal/twojj3tky2uf8lym,2
413,南朝宋孝建,454,456.0,南朝宋,孝武帝,刘骏,孝建,http://data.library.sh.cn/authority/temporal/xatg9m2vyz8tddd1,2
414,北魏兴光,455,459.0,北魏,文成帝,拓跋濬,兴光,http://data.library.sh.cn/authority/temporal/sy46oikhc5p7nf31,4
415,北魏太安,455,455.0,北魏,文成帝,拓跋濬,太安,http://data.library.sh.cn/authority/temporal/gyewqnado4ekjy9n,0
416,南朝宋大明,457,464.0,南朝宋,孝武帝,刘骏,大明,http://data.library.sh.cn/authority/temporal/4yzlpaqguntedth3,7
417,北魏和平,460,465.0,北魏,文成帝,拓跋濬,和平,http://data.library.sh.cn/authority/temporal/4pm5rzpvcyrvshoq,5
418,柔然永康,464,484.0,柔然,,受罗部真可汗,永康,http://data.library.sh.cn/authority/temporal/69s8uks2dbmpmars,20
419,南朝宋永光,465,465.0,南朝宋,前废帝,刘子业,永光,http://data.library.sh.cn/authority/temporal/52cuuvfk24chtq5a,0
420,南朝宋景和,465,465.0,南朝宋,前废帝,刘子业,景和,http://data.library.sh.cn/authority/temporal/15a8jrfhphayrp63,0
421,南朝宋泰始,465,471.0,南朝宋,明帝,刘彧,泰始,http://data.library.sh.cn/authority/temporal/ghv8uzn43p3l535n,6
422,北魏天安,466,467.0,北魏,献文帝,拓跋弘,天安,http://data.library.sh.cn/authority/temporal/hvmtyds3caqqvddu,1
423,北魏皇兴,467,471.0,北魏,献文帝,拓跋弘,皇兴,http://data.library.sh.cn/authority/temporal/7d8sbfgjum1ndt4t,4
424,北魏延兴,471,476.0,北魏,孝文帝,元宏,延兴,http://data.library.sh.cn/authority/temporal/1d8tsxi4wnjinai9,5
