,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
2666,张伯英,张伯英印,4,1,,,,,,,,,,
2667,项元汴,古檇李狂儒墨林山房史籍印,12,1,,,,,,,,,,
2668,罗振玉,罗振玉印,4,1,,,,,,,,,,
2669,寿石工,寿玺,2,,,,,,,,,,,
2670,顾麟士,鹤逸一字西津,6,,,,,,,,,,,
2671,法若真,法若真印,4,1,,,,,,,,,,
2672,榭稚柳,杜斋,2,,,,,,,,,,,
2673,陆俨少,俨少字宛若,5,,,,,,,,,,,
2674,寿石工,南方墨者,4,,,,,,,,,,,
2675,张绍仁,学安,2,,,,,,,,,,,
2676,余任天,但知有汉,4,,,,,,,,,,,
2677,张复,张复之印,4,1,,1,,,,,,,,
2678,王雪涛,王雪涛印,4,1,,,,,,,,,,
2679,寿石工,石工短歌,4,,,,,,,,,,,
2680,汪振勋,平阳汪氏藏书印,7,1,,,,,,,1,,,
2681,俞旦,俞旦之印,4,1,,1,,,,,,,,
2682,汪文柏,季青真赏,4,,,,,,,,,,,
2683,陈之佛,心即是佛,4,,,,,,,,,,,
2684,周沧米,周沧米印,4,1,,,,,,,,,,
2685,吴滔,吴滔之印,4,1,,1,,,,,,,,
2686,金城,金城,2,,,,,,,,,,,
2687,钱瘦铁,瘦铁,2,,,,,,,,,,,
2688,沈子丞,沈印,2,1,,,,,,,,,,
2689,吴昌硕,一月安东令,5,,,,,,,,,,,
2690,姜宸英,西溟,2,,,,,,,,,,,
2691,王森然,春妃秋郎阁,5,,,,,,,,,,,
2692,范守和,范禾印,3,1,,,,,,,,,,
2693,胡佩衡,胡佩衡印,4,1,,,,,,,,,,
2694,张绍仁,读异斋,3,,,,,,,,,,,
2695,黄丕烈,士礼居藏,4,,,,,,,,,,,
2696,程嘉燧,偈庵,2,,,,,,,,,,,
2697,陆心源,光绪戊子湖州陆心源捐送国子监之书匮藏南学,20,,,,,,,,,,,
2698,包栋,包子梁画记,5,,,,,,,,,,,
2699,齐白石,倦也欲眠君且去,7,,,,,,,,,,,
2700,关山月,漠阳,2,,,,,,,,,,,
2701,潘正炜,潘氏季彤珍藏,6,,,,,,,,,,,
2702,樊圻,会公,2,,,,,,,,,,,
2703,卢文弨,卢文弨印,4,1,,,,,,,,,,
2704,钱谷,钱谷印,3,1,,,,,,,,,,
2705,郑旼,穆倩,2,,,,,,,,,,,
2706,项元汴,墨林父,3,,,,,,,,,,,
2707,江寒汀,海虞江上渔画记,7,,,,,,,,,,,
2708,潘奕隽,三松过眼,4,,,,,,,,,,,
2709,顾鹤庆,鹤庆弢庵,4,,,,,,,,,,,
2710,蔡嘉,蔡岑州印,4,1,,,,,,,,,,
2711,刘海粟,海粟,2,,,,,,,,,,,
2712,榭稚柳,雾花,2,,,,,,,,,,,
2713,宋文治,风景这边独好,6,,,,,,,,,,,
2714,丁云鹏,丁云鹏印,4,1,,,,,,,,,,
2715,钱瘦铁,钱厓印信,4,,,,,,1,,,,,
2716,翁方纲,苏米斋,3,,,,,,,,,,,
2717,叶德辉,吏部郎,3,,,,,,,,,,,
2718,程庭鹭,程父,2,,,,,,,,,,,
2719,毕泷,毕泷真赏图记,6,,,,,,,,,,,
2720,林则徐,节度粗官,4,,,,,,,,,,,
2721,宋珏,宋瑴之印,4,1,,1,,,,,,,,
2722,齐白石,阿芝,2,,,,,,,,,,,
2723,唐云,药翁,2,,,,,,,,,,,
2724,朱彝尊,锡鬯,2,,,,,,,,,,,
2725,黄绍宪,绍宪私印,4,1,,,,1,,,,,,
2726,乔大壮,闲愁最苦,4,,,,,,,,,,,
2727,蒋风白,风白六十岁后作,7,,,,,,,,,,,
2728,华岩,存乎蓬艾之间,6,,,,,,,,,,,
2729,孙星衍,臣星衍印,4,1,,,,,,,,,,
2730,诸乐三,希斋,2,,,,,,,,,,,
2731,邓尔雅,金海延年,4,,,,,,,,,,,
2732,陈淳,白阳山人,4,,,,,,,,,,,
2733,程桢义,梅寿堂,3,,,,,,,,,,,
2734,费丹旭,偶,1,,,,,,,,,,,
2735,榭稚柳,稚柳,2,,,,,,,,,,,
2736,华岩,被明月兮佩宝璐,7,,,,,,,,,,,
2737,范守和,集虚斋印,4,1,,,,,,,,,,
2738,张大千,三千大千,4,,,,,,,,,,,
2739,李普同,普同,2,,,,,,,,,,,
2740,金城,金城之印,4,1,,1,,,,,,,,
2741,陈奕禧,陈熹,2,,,,,,,,,,,
2742,于非闇,壮夫不为,4,,,,,,,,,,,
2743,钱镜塘,镜塘,2,,,,,,,,,,,
2744,陈半丁,半丁老人,4,,,,,,,,,,,
2745,文从简,悟言室印,4,1,,,,,,,,,,
2746,范大澈,沧瀛外史,4,,,,,,,,,,,
2747,高时显,梅王阁,3,,,,,,,,,,,
2748,谭延闿,谭延闿印,4,1,,,,,,,,,,
2749,孙克弘,孙允执,3,,,,,,,,,,,
2750,寿石工,手把芙蓉忆秋水,7,,,,,,,,,,,
2751,蔡嘉,松原,2,,,,,,,,,,,
2752,项元汴,项墨林鉴赏法书名画,9,,,,,,,,,,,
2753,黄丕烈,士礼居,3,,,,,,,,,,,
2754,萧云从,萧云从,3,,,,,,,,,,,
2755,张宗祥,冷僧墨戏,4,,,,,,,,,,,
2756,吴昌硕,无须老人,4,,,,,,,,,,,
2757,吴湖帆,丑簃长年,4,,,,,,,,,,,
2758,郭味蕖,郭味蕖印,4,1,,,,,,,,,,
2759,吴昌硕,仓硕,2,,,,,,,,,,,
2760,杨以增,墓田丙舍退思庐考记,9,,,,,,,,,,,
2761,赵少昂,少昂,2,,,,,,,,,,,
2762,高时敷,高绎求,3,,,,,,,,,,,
2763,李可染,废画三千,4,,,,,,,,,,,
2764,于希宁,于希宁印,4,1,,,,,,,,,,
2765,邹一桂,画禅颐寿,4,,,,,,,,,,,
2766,吴骞,兔床,2,,,,,,,,,,,
2767,张伯英,张伯英印,4,1,,,,,,,,,,
2768,赵少昂,少昂,2,,,,,,,,,,,
2769,袁廷檮,田耕堂藏,4,,,,,,,,,,,
2770,吴骞,拜经楼吴氏藏书印,8,1,,,,,,,1,,,
2771,江寒汀,荻舫,2,,,,,,,,,,,
2772,榭稚柳,谢稚,2,,,,,,,,,,,
2773,任率英,甲子,2,,,,,,,,,,,
2774,爱新觉罗·永瑢,永瑢,2,,,,,,,,,,,
2775,爱新觉罗·弘历,古稀天子,4,,,,,,,,,,,
2776,孙星衍,太史之章,4,,1,,1,,,,,,,
2777,吴鼒,吴鼒私印,4,1,,,,1,,,,,,
2778,吴昌硕,癖斯,2,,,,,,,,,,,
2779,齐白石,浮名过实,4,,,,,,,,,,,
2780,张仃,焦墨缘,3,,,,,,,,,,,
2781,寿石工,赮外草堂,4,,,,,,,,,,,
2782,马晋,伯逸,2,,,,,,,,,,,
2783,徐时栋,古明州烟屿徐氏收藏印,10,1,,,,,,,,,,
2784,邓散木,邓,1,,,,,,,,,,,
2785,郭传璋,郭传璋,3,,,,,,,,,,,
2786,陈淳,陈氏道复,4,,,,,,,,,,,
2787,陈半丁,藐世头陀,4,,,,,,,,,,,
2788,寿石工,不食鱼斋,4,,,,,,,,,,,
2789,陈鸿寿,曼生,2,,,,,,,,,,,
2790,叶浅予,默坐,2,,,,,,,,,,,
2791,唐云,大石翁,3,,,,,,,,,,,
2792,江寒汀,寒汀,2,,,,,,,,,,,
2793,应野平,应,1,,,,,,,,,,,
2794,王穉登,王穉登印,4,1,,,,,,,,,,
2795,李叔同,晚晴老人,4,,,,,,,,,,,
2796,程庭鹭,吾印一画二酒三诗四书五词六,13,,,,,,,,,,,
2797,项笃寿,项笃寿印,4,1,,,,,,,,,,
2798,任率英,率英画印,4,1,,,,,,,,,,
2799,笪重光,江上,2,,,,,,,,,,,
2800,阮元,兵部侍郎都察院右副都御史,12,,,,,,,,,,,
2801,高其佩,且园,2,,,,,,,,,,,
2802,寿石工,寿石工金石寿,6,,,,,,,,,,,
2803,榭稚柳,谢稚柳,3,,,,,,,,,,,
2804,陈鸿寿,石经楼印,4,1,,,,,,,,,,
2805,孟光涛,花溪人,3,,,,,,,,,,,
2806,包世臣,世臣,2,,,,,,,,,,,
2807,黄宾虹,宾公,2,,,,,,,,,,,
2808,董邦达,孚存,2,,,,,,,,,,,
2809,钱瘦铁,钱厓私印,4,1,,,,1,,,,,,
2810,陈洪绶,莲子,2,,,,,,,,,,,
2811,费新我,新我旅行写生,6,,,,,,,,,,,
2812,吴骞,骞,1,,,,,,,,,,,
2813,陈率祖,磨厓山人,4,,,,,,,,,,,
2814,钱榖,钱氏叔宝,4,,,,,,,,,,,
2815,姚燮,梅伯,2,,,,,,,,,,,
2816,齐白石,白石三复,4,,,,,,,,,,,
2817,包世臣,安吴包伯子父第十五,9,,,,,,,,,,,
2818,汪恭,恭,1,,,,,,,,,,,
2819,叶昌炽,长洲叶氏所藏金石文字,10,,,,,,,,,,,
2820,朱鼎煦,酂卿,2,,,,,,,,,,,
2821,叶浅予,叶,1,,,,,,,,,,,
2822,葛家修,葛家修印,4,1,,,,,,,,,,
2823,郭沫若,鼎堂,2,,,,,,,,,,,
2824,范守知,垕盦,2,,,,,,,,,,,
2825,王森然,森然,2,,,,,,,,,,,
2826,黄丕烈,且还读吾书,5,,,,,,,,,,,
2827,郑旼,慕倩云烟过眼,6,,,,,,,,,,,
2828,朱复戡,梅墟朱氏,4,,,,,,,,,,,
2829,米万钟,米万钟印,4,1,,,,,,,,,,
2830,叶德辉,德辉私印,4,1,,,,1,,,,,,
2831,萧云从,钟山草堂,4,,,,,,,,,,,
2832,翁方纲,苏斋真鉴,4,,,,,,,,,,,
2833,文俶,兰仪玉度,4,,,,,,,,,,,
2834,汪士慎,近人慎,3,,,,,,,,,,,
2835,方士庶,举肥,2,,,,,,,,,,,
2836,高其佩,全无成见,4,,,,,,,,,,,
2837,包栋,包栋,2,,,,,,,,,,,
2838,齐白石,独耻事干谒,5,,,,,,,,,,,
2839,应野平,野平,2,,,,,,,,,,,
2840,关良,良公,2,,,,,,,,,,,
2841,齐白石,齐白石,3,,,,,,,,,,,
2842,关良,关良,2,,,,,,,,,,,
2843,陆俨少,陆俨少,3,,,,,,,,,,,
2844,田世光,梅花欢喜漫天雪,7,,,,,,,,,,,
2845,华岩,华喦,2,,,,,,,,,,,
2846,董诰,柘林,2,,,,,,,,,,,
2847,沙孟海,沙邨唯印,4,1,,,,,,,,,,
2848,宋文治,好山河,3,,,,,,,,,,,
2849,榭稚柳,苦篁斋,3,,,,,,,,,,,
2850,齐白石,古潭州人,4,,,,,,,,,,,
2851,弘旿,龟藏六,3,,,,,,,,,,,
2852,陈铣,陈铣之印,4,1,,1,,,,,,,,
2853,赵之谦,益甫手段,4,,,,,,,,,,,
2854,任预,立凡,2,,,,,,,,,,,
2855,顾麟士,病鹤,2,,,,,,,,,,,
2856,吴滔,来鹭草堂,4,,,,,,,,,,,
2857,胡润芝,辰斋,2,,,,,,,,,,,
2858,李可染,李,1,,,,,,,,,,,
2859,丰子恺,子恺书画,4,,,,,,,,,,,
2860,吴骞,十二桥南烟客,6,,,,,,,,,,,
2861,寿石工,寿园丁,3,,,,,,,,,,,
2862,王雪涛,老牛,2,,,,,,,,,,,
2863,李可染,可染,2,,,,,,,,,,,
2864,陈淳,淳父氏,3,,,,,,,,,,,
2865,朱复戡,身轻一鐱知,5,,,,,,,,,,,
2866,赵鹤琴,一切唯心造,5,,,,,,,,,,,
2867,项元汴,子京所藏,4,,,,,,,,,,,
2868,陈鸿寿,陈伯子,3,,,,,,,,,,,
2869,李普同,普同,2,,,,,,,,,,,
2870,石鲁,石鲁,2,,,,,,,,,,,
2871,蔡嘉,松原书画,4,,,,,,,,,,,
2872,谢稚柳,鱼饮溪堂,4,,,,,,,,,,,
2873,陈半丁,上苍独厚,4,,,,,,,,,,,
2874,乔大壮,永夕,2,,,,,,,,,,,
2875,瞿中溶,中溶,2,,,,,,,,,,,
2876,翁同龢,叔平,2,,,,,,,,,,,
2877,陈洪绶,悔迟弗迟,4,,,,,,,,,,,
2878,吴昌硕,安吉吴俊长寿日利印,9,1,,,,,,,,,,
2879,宁斧成,污君眸,3,,,,,,,,,,,
2880,乔大壮,乔大壮,3,,,,,,,,,,,
2881,黄丕烈,士礼居,3,,,,,,,,,,,
2882,余任天,任天临池永用,6,,,,,,,,,,,
2883,刘海粟,海粟藏书,4,,,,,,,,,,,
2884,刘淑度,淑度,2,,,,,,,,,,,
2885,张燮,虞山张蓉镜鉴藏,7,,,,,,,,,,,
2886,齐白石,苹翁,2,,,,,,,,,,,
2887,溥儒,吾将此地巢云松,7,,,,,,,,,,,
2888,赵之谦,赵之谦印,4,1,,,,,,,,,,
2889,徐光济,硖石徐氏家传子子孙孙永宝,12,,,,,,,,,,,
2890,陈铣,陈氏莲汀,4,,,,,,,,,,,
2891,孔宪瑶,宪瑶长寿,4,,,,,,,,,,,
2892,齐白石,多面印1：齐璜敬写,9,,,,,,,,,,,
2893,齐白石,齐白石管领金石纸本,9,,,,,,,,,,,
2894,陆时化,陆时化印,4,1,,,,,,,,,,
2895,张大千,摩耶精舍,4,,,,,,,,,,,
2896,高其佩,非我所能为者,6,,,,,,,,,,,
2897,范守和,范守和稚禾父印信长寿,10,,,,,,,,,,,
2898,方亨咸,方亨咸印,4,1,,,,,,,,,,
2899,汪统,潜龙,2,,,,,,,,,,,
2900,马一浮,蠲戏老人,4,,,,,,,,,,,
2901,张绍仁,张绍仁印,4,1,,,,,,,,,,
2902,程庭鹭,箬盦,2,,,,,,,,,,,
2903,邹一桂,二知,2,,,,,,,,,,,
2904,朱复戡,俯首甘为孺子牛,7,,,,,,,,,,,
2905,关山月,关山月,3,,,,,,,,,,,
2906,王士肚,駃雪,2,,,,,,,,,,,
2907,徐元文,立斋,2,,,,,,,,,,,
2908,杨以增,东郡杨氏宋存书室珍藏,10,,,,,,,,,,,
2909,徐乾学,玉峰徐氏家藏,6,,,,,,,,,,,
2910,钱君匋,钱君匋,3,,,,,,,,,,,
2911,陈书,白阳家学,4,,,,,,,,,,,
2912,伊秉绶,柘湖,2,,,,,,,,,,,
2913,董邦达,东山,2,,,,,,,,,,,
2914,姜宸英,姜宸英印,4,1,,,,,,,,,,
2915,陆治,包山子,3,,,,,,,,,,,
2916,弘旿,端居室,3,,,,,,,,,,,
2917,包世臣,慎伯父,3,,,,,,,,,,,
2918,唐翰题,唐翰题审定记,6,,,,,,,,,,,
2919,蒋汝藻,孟苹,2,,,,,,,,,,,
2920,商承祚,商承祚,3,,,,,,,,,,,
2921,陈鸿寿,臣鸿寿,3,,,,,,,,,,,
2922,达受,磨砖作镜,4,,,,,,,,,,,
2923,项元汴,漆园傲吏,4,,,,,,,,,,,
2924,溥儒,溥儒,2,,,,,,,,,,,
2925,齐白石,苹翁,2,,,,,,,,,,,
2926,王铎,王铎之印,4,1,,1,,,,,,,,
2927,朱复戡,朱复戡,3,,,,,,,,,,,
2928,陈巨来,沙阳乡,3,,,,,,,,,,,
2929,吴焯,绣谷,2,,,,,,,,,,,
2930,陈淳,陈道复印,4,1,,,,,,,,,,
2931,唐云,大石堂,3,,,,,,,,,,,
2932,诸乐三,平安,2,,,,,,,,,,,
2933,毕泷,毕泷秘藏,4,,,,,,,,,,,
2934,潘奕隽,奕隽私印,4,1,,,,1,,,,,,
2935,蔡嘉,岑州,2,,,,,,,,,,,
2936,赵之谦,撝叔四十岁后作,7,,,,,,,,,,,
2937,张之洞,牛翁,2,,,,,,,,,,,
2938,陈半丁,江畔村人,4,,,,,,,,,,,
2939,张绍仁,长洲张氏执经堂藏,8,,,,,,,,,,,
2940,梅清,老去看山眼倍青,7,,,,,,,,,,,
2941,朱彝尊,天下冰凌,4,,,,,,,,,,,
2942,徐火勃,鳌峰徐氏宛羽楼藏,8,,,,,,,,,,,
2943,赵叔孺,曾藏赵纫苌处,6,,,,,,,,,,,
2944,张敔,存古氏,3,,,,,,,,,,,
2945,叶浅予,浅予,2,,,,,,,,,,,
2946,岑槠,仲陶父印,4,1,,,,,,,,,,
2947,潘天寿,潘,1,,,,,,,,,,,
2948,方亨咸,方亨咸字吉偶,6,,,,,,,,,,,
2949,叶潞渊,苏人,2,,,,,,,,,,,
2950,王穉登,王穉登印,4,1,,,,,,,,,,
2951,缪荃孙,缪荃孙藏,4,,,,,,,,,,,
2952,项元汴,项氏家藏,4,,,,,,,,,,,
2953,华岩,存乎蓬艾之间,6,,,,,,,,,,,
2954,仇英,仇英,2,,,,,,,,,,,
2955,齐白石,七三翁,3,,,,,,,,,,,
2956,赵少昂,少昂,2,,,,,,,,,,,
2957,华岩,幽心入微,4,,,,,,,,,,,
2958,黄绍宪,绍宪释文,4,,,,,,,,,,,
2959,乔大壮,新野乔氏,4,,,,,,,,,,,
2960,陈率祖,孝行氏,3,,,,,,,,,,,
2961,钱大昕,文学侍从,4,,,,,,,,,,,
2962,边寿民,绰绰老人,4,,,,,,,,,,,
2963,周之冕,周之冕印,4,1,,,,,,,,,,
2964,余任天,见大亭,3,,,,,,,,,,,
2965,陈衡恪,今之隐几者,5,,,,,,,,,,,
2966,曹寅,曹寅,2,,,,,,,,,,,
2967,齐燕铭,燕铭,2,,,,,,,,,,,
2968,岑槠,仲陶,2,,,,,,,,,,,
2969,宁斧成,宁庐,2,,,,,,,,,,,
2970,黄幻吾,幻吾写生,4,,,,,,,,,,,
2971,谢稚柳,稚柳,2,,,,,,,,,,,
2972,周之冕,笔研精良人生一乐,8,,,,,,,,,,,
2973,寿石工,蝶芜斋,3,,,,,,,,,,,
2974,高邕,李盦和尚,4,,,,,,,,,,,
2975,唐云,大石翁,3,,,,,,,,,,,
2976,黄秋园,苍润,2,,,,,,,,,,,
2977,张敔,春生,2,,,,,,,,,,,
2978,钟葆珩,坚寿石主,4,,,,,,,,,,,
2979,陈率祖,率祖,2,,,,,,,,,,,
2980,爱新觉罗·弘历,比德,2,,,,,,,,,,,
2981,陈奕禧,陈禧之印,4,1,,1,,,,,,,,
2982,黄钺,黄九,2,,,,,,,,,,,
2983,叶潞渊,静乐簃,3,,,,,,,,,,,
2984,罗振玉,上虞罗氏,4,,,,,,,,,,,
2985,方济众,济众,2,,,,,,,,,,,
2986,赵鹤琴,陶真楼,3,,,,,,,,,,,
2987,石鲁,石鲁,2,,,,,,,,,,,
2988,丰子恺,缘缘堂,3,,,,,,,,,,,
2989,华岩,新罗山人,4,,,,,,,,,,,
2990,张伯英,张伯英印,4,1,,,,,,,,,,
2991,文俶,寒山兰闺画史,6,,,,,,,,,,,
2992,吴湖帆,吴万之印,4,1,,1,,,,,,,,
2993,法式善,法式善稿,4,,,,,,,,,,,
2994,李可染,可染画,3,,,,,,,,,,,
2995,邹一桂,二知,2,,,,,,,,,,,
2996,龚贤,半亩,2,,,,,,,,,,,
2997,吴云,平斋,2,,,,,,,,,,,
2998,翁方纲,苏斋,2,,,,,,,,,,,
2999,赵鹤琴,姚江,2,,,,,,,,,,,
3000,钱大昕,钱大昕印,4,1,,,,,,,,,,
3001,田世光,世光,2,,,,,,,,,,,
3002,钟葆珩,臣钟葆珩,4,,,,,,,,,,,
3003,李叔同,辟,1,,,,,,,,,,,
3004,文俶,寒山兰闺画史,6,,,,,,,,,,,
3005,于非闇,于非盦,3,,,,,,,,,,,
3006,齐白石,白石画虫,4,,,,,,,,,,,
3007,吴荣光,拜经老人,4,,,,,,,,,,,
3008,陶湘,陶兰泉,3,,,,,,,,,,,
3009,梁清标,蕉林,2,,,,,,,,,,,
3010,李普同,普同长年,4,,,,,,,,,,,
3011,叶德辉,郋园,2,,,,,,,,,,,
3012,关山月,关山月,3,,,,,,,,,,,
3013,郭传璋,郭传璋印,4,1,,,,,,,,,,
3014,蓝瑛,蓝瑛,2,,,,,,,,,,,
3015,石鲁,石鲁,2,,,,,,,,,,,
3016,张复,张复,2,,,,,,,,,,,
3017,寿石工,苦手,2,,,,,,,,,,,
3018,孟光涛,光涛书画,4,,,,,,,,,,,
3019,朱屺瞻,屺瞻,2,,,,,,,,,,,
3020,余任天,听天阁,3,,,,,,,,,,,
3021,项圣谟,凤松,2,,,,,,,,,,,
3022,童大年,家在金鳌十二峰,7,,,,,,,,,,,
3023,李苦禅,苦禅,2,,,,,,,,,,,
3024,胡佩衡,春风大雅之堂,6,,,,,,,,,,,
3025,关山月,漠阳,2,,,,,,,,,,,
3026,丁仁,丁辅之所藏名人手札,9,,,,,,,,,,,
3027,张大千,至宝是宝,4,,,,,,,,,,,
3028,徐枋,秦余山人,4,,,,,,,,,,,
3029,黄道周,琴鹤轩,3,,,,,,,,,,,
3030,汪啓淑,开万楼,3,,,,,,,,,,,
3031,朱屺瞻,屺瞻,2,,,,,,,,,,,
3032,齐白石,木居士记,4,,,,,,,,,,,
3033,项元汴,子京珍秘,4,,,,,,,,,,,
3034,吴昌硕,苍石父,3,,,,,,,,,,,
3035,沙孟海,沙,1,,,,,,,,,,,
3036,华岩,秋岳,2,,,,,,,,,,,
3037,于右任,关中于氏,4,,,,,,,,,,,
3038,端方,端方私印,4,1,,,,1,,,,,,
3039,唐云,大石斋,3,,,,,,,,,,,
3040,陈鸿寿,陈鸿寿印,4,1,,,,,,,,,,
3041,叶德辉,焕彬,2,,,,,,,,,,,
3042,邓尔雅,邓,1,,,,,,,,,,,
3043,孙星衍,孙伯渊,3,,,,,,,,,,,
3044,瞿秉渊,瞿秉渊印,4,1,,,,,,,,,,
3045,杨以增,杨以增字益之又字至堂晚号冬樵行一,16,,,,,,,,,,,
3046,毕泷,涧飞氏,3,,,,,,,,,,,
3047,潘奕隽,闲来无事不从容,7,,,,,,,,,,,
3048,弘仁,渐江,2,,,,,,,,,,,
3049,爱新觉罗·弘历,取益在广求,5,,,,,,,,,,,
3050,杨绍和,杨绍和印,4,1,,,,,,,,,,
3051,张善孖,虎痴画虎,4,,,,,,,,,,,
3052,叶浅予,浅予,2,,,,,,,,,,,
3053,丰子恺,缘缘堂,3,,,,,,,,,,,
3054,贺天健,让乡里人,4,,,,,,,,,,,
3055,蓝瑛,蓝瑛,2,,,,,,,,,,,
3056,于希宁,求索,2,,,,,,,,,,,
3057,潘天寿,潘天寿,3,,,,,,,,,,,
3058,孙星衍,孙氏伯渊,4,,,,,,,,,,,
3059,易忠箓,易均室万灵蕤夫妇寓赏,10,,,,,,,,,,,
3060,孙承泽,孙氏万卷楼印,6,1,,,,,,,,,,
3061,边寿民,维祺,2,,,,,,,,,,,
3062,边寿民,边颐公,3,,,,,,,,,,,
3063,陈半丁,山阴陈年辟禅,6,,,,,,,,,,,
3064,宁斧成,虚心使人进步,6,,,,,,,,,,,
3065,吴骞,临安志百卷人家,7,,,,,,,,,,,
3066,岑槠,仲陶手斠,4,,,,,,,,,,,
3067,张大千,大千居士,4,,,,,,,,,,,
3068,榭稚柳,稚柳,2,,,,,,,,,,,
3069,梅清,瞿山氏珍玩章,6,,1,,,,,,,,,
3070,杭世骏,杭世骏印,4,1,,,,,,,,,,
3071,余任天,一早百早抢季节,7,,,,,,,,,,,
3072,傅抱石,松年,2,,,,,,,,,,,
3073,何海霞,老霞,2,,,,,,,,,,,
3074,陆恢,陆恢之印,4,1,,1,,,,,,,,
3075,余绍宋,余绍宋印,4,1,,,,,,,,,,
3076,杨保彝,杨保彝印,4,1,,,,,,,,,,
3077,居廉,古泉,2,,,,,,,,,,,
3078,法若真,画意,2,,,,,,,,,,,
3079,居廉,老刚,2,,,,,,,,,,,
3080,杨绍和,杨绍和曾敬观天禄琳琅秘籍,12,,,,,,,,,,,
3081,吴昌硕,缶,1,,,,,,,,,,,
3082,叶德煌,默庵,2,,,,,,,,,,,
3083,来楚生,负翁唯印,4,1,,,,,,,,,,
3084,张廷济,嘉庆戊午浙江解元,8,,,,,,,,,,,
3085,汪士钟,汪士钟读书,5,,,,,,,,,,,
3086,杨文骢,杨文骢印,4,1,,,,,,,,,,
3087,叶德辉,叶德辉,3,,,,,,,,,,,
3088,汪亚尘,亚尘书画,4,,,,,,,,,,,
3089,丁文蔚,长乐无极老复丁,7,,,,,,,,,,,
3090,张宗祥,老小孩子,4,,,,,,,,,,,
3091,陈衡恪,五石堂,3,,,,,,,,,,,
3092,陈洪绶,章侯,2,,,,,,,,,,,
3093,张仃,张仃,2,,,,,,,,,,,
3094,寿石工,珏厂石工,4,,,,,,,,,,,
3095,石鲁,石鲁,2,,,,,,,,,,,
3096,榭稚柳,稚柳,2,,,,,,,,,,,
3097,汪士慎,晚春老人,4,,,,,,,,,,,
3098,余任天,指点江山激扬文字,8,,,,,,,,,,,
3099,吴滔,伯滔,2,,,,,,,,,,,
3100,文嘉,文氏休承,4,,,,,,,,,,,
3101,章绶衔,绶衔之印,4,1,,1,,,,,,,,
3102,周之冕,服卿氏,3,,,,,,,,,,,
3103,黄宾虹,宾虹,2,,,,,,,,,,,
3104,乔大壮,戢,1,,,,,,,,,,,
3105,余任天,惜安,2,,,,,,,,,,,
3106,达受,六舟达受,4,,,,,,,,,,,
3107,王梦石,南浦印屋主人,6,,,,,,,,,,,
3108,诸乐三,新意,2,,,,,,,,,,,
3109,汪士慎,近人,2,,,,,,,,,,,
3110,寿石工,可学者迹不传者心,8,,,,,,,,,,,
3111,曹溶,鉏菜翁,3,,,,,,,,,,,
3112,杨绍和,史馆纂修,4,,,,,,,,,,,
3113,章绶衔,康笙,2,,,,,,,,,,,
3114,张敔,张敔之印,4,1,,1,,,,,,,,
3115,爱新觉罗·弘历,乾隆御览之宝,6,,,,,,,,,,,
3116,王雪涛,王雪涛印,4,1,,,,,,,,,,
3117,钱镜塘,海昌钱镜塘藏乡贤经籍印,11,1,,,,,,,,,,
3118,余任天,任天,2,,,,,,,,,,,
3119,榭稚柳,鱼饮,2,,,,,,,,,,,
3120,赵云壑,赵云壑之印,5,1,,1,,,,,,,,
3121,叶德辉,观古堂,3,,,,,,,,,,,
3122,陈衡恪,师曾眼福,4,,,,,,,,,,,
3123,毕泷,涧飞,2,,,,,,,,,,,
3124,方人定,人定画记,4,,,,,,,,,,,
3125,笪重光,江上外史,4,,,,,,,,,,,
3126,陈奕禧,渤海武列王二十五世孙,10,,,,,,,,,,,
3127,岑槠,岑镕字中陶,5,,,,,,,,,,,
3128,寿石工,印丐写所为诗,6,,,,,,,,,,,
3129,罗振玉,振玉印信,4,,,,,,1,,,,,
3130,关良,关,1,,,,,,,,,,,
3131,汪士慎,士慎,2,,,,,,,,,,,
3132,李流芳,李流芳印,4,1,,,,,,,,,,
3133,马晋,伯逸,2,,,,,,,,,,,
3134,萧蜕庵,虞山萧,3,,,,,,,,,,,
3135,齐燕铭,燕铭,2,,,,,,,,,,,
3136,倪田,宝田印,3,1,,,,,,,,,,
3137,潘奕隽,地官大夫,4,,,,,,,,,,,
3138,阮元,孔子七十三代长孙女,9,,,,,,,,,,,
3139,瞿中溶,梅花一卷楼,5,,,,,,,,,,,
3140,王一亭,一亭七十岁后所书,8,,,,,,,,,,,
3141,朱学勤,朱学勤修伯甫,6,,,,,,,,,,,
3142,爱新觉罗·弘历,淳化轩图书珍秘宝,8,,,,,,,,,,,
3143,沈树镛,灵寿华馆,4,,,,,,,,,,,
3144,宋步云,劲节凌霄,4,,,,,,,,,,,
3145,宋文治,宋文治,3,,,,,,,,,,,
3146,祁豸佳,止祥父,3,,,,,,,,,,,
3147,吴荣光,荷屋审定,4,,,,,,,,,,,
3148,汪文柏,平阳季子收藏图书,8,,,,,,,,,,,
3149,鲁迅,俟堂石墨,4,,,,,,,,,,,
3150,汪统,眉寿无疆,4,,,,,,,,,,,
3151,黄慎,黄慎,2,,,,,,,,,,,
3152,陆俨少,俨少得意,4,,,,,,,,,,,
3153,陈撰,楞山,2,,,,,,,,,,,
3154,吴焯,尺凫,2,,,,,,,,,,,
