,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
114,寿石工,海棠梦在,4,,,,,,,,,,,
115,高二适,老复丁,3,,,,,,,,,,,
116,张绍仁,讱庵钞藏秘册,6,,,,,,,,,,,
117,沙孟海,若,1,,,,,,,,,,,
118,王个喉,个簃,2,,,,,,,,,,,
119,黄绍宪,季度吉金寿石,6,,,,,,,,,,,
120,蔡嘉,桐华馆书画章,6,,1,,,,,,,,,
121,项笃寿,项笃寿印,4,1,,,,,,,,,,
122,吴昌硕,仓石,2,,,,,,,,,,,
123,傅抱石,抱石之印,4,1,,1,,,,,,,,
124,张敔,张敔印,3,1,,,,,,,,,,
125,翁方纲,北平翁方纲审定真迹,9,,,,,,,,,,,
126,宋荦,荦,1,,,,,,,,,,,
127,郭沫若,沫若之印,4,1,,1,,,,,,,,
128,朱昌燕,朱昌燕,3,,,,,,,,,,,
129,李苦禅,李英,2,,,,,,,,,,,
130,金城,巩伯,2,,,,,,,,,,,
131,吴茀之,吴溪茀之六十后作,8,,,,,,,,,,,
132,顾麟士,鹤逸,2,,,,,,,,,,,
133,于右任,于,1,,,,,,,,,,,
134,叶德辉,直山金石经目,6,,,,,,,,,,,
135,于希宁,癖于斯,3,,,,,,,,,,,
136,钱谦益,钱谦益印,4,1,,,,,,,,,,
137,程正揆,程正揆,3,,,,,,,,,,,
138,任预,阿立,2,,,,,,,,,,,
139,董邦达,臣邦达印,4,1,,,,,,,,,,
140,谢稚柳,稚柳,2,,,,,,,,,,,
141,程桢义,程氏秘笈,4,,,,,,,,,,,
142,杭世骏,道古堂书画印,6,1,,,,,,,,,1,
143,沈曾植,退一居珍藏印,6,1,,,,,,,,,,
144,任率英,任率英印,4,1,,,,,,,,,,
145,韩登安,韩竞,2,,,,,,,,,,,
146,王腰,杭州王禔福厂父印信,9,,,,,,1,,,,,
147,陈鸿寿,曼生,2,,,,,,,,,,,
148,余任天,天庐,2,,,,,,,,,,,
149,吴骞,临安志百卷人家,7,,,,,,,,,,,
150,顾麟士,麟士,2,,,,,,,,,,,
151,宋荦,和松庵,3,,,,,,,,,,,
152,李可染,可染,2,,,,,,,,,,,
153,张大千,张爰,2,,,,,,,,,,,
154,范守和,集虚斋,3,,,,,,,,,,,
155,罗振玉,殷礼在斯堂,5,,,,,,,,,,,
156,陈淳,白阳山人,4,,,,,,,,,,,
157,查昇,查昇字仲韦号声山,8,,,,,,,,,,,
158,叶浅予,浅予速写,4,,,,,,,,,,,
159,王森然,王森然,3,,,,,,,,,,,
160,李苦禅,李苦禅氏,4,,,,,,,,,,,
161,宋步云,步云九十年代作,7,,,,,,,,,,,
162,蔡嘉,蔡生,2,,,,,,,,,,,
163,钱谷,叔寳,2,,,,,,,,,,,
164,齐白石,白石,2,,,,,,,,,,,
165,朱复戡,推陈出新,4,,,,,,,,,,,
166,刘海粟,毗陵刘海粟章,6,,1,,,,,,,,,
167,沈颢,朗倩,2,,,,,,,,,,,
168,张仃,大象无形,4,,,,,,,,,,,
169,余任天,丹山赤水,4,,,,,,,,,,,
170,蒲华,愿花长好月长圆人长寿,10,,,,,,,,,,,
